code,description
E10,Insulin-dependent diabetes mellitus
E11,Non-insulin-dependent diabetes mellitus
E12,Malnutrition-related diabetes mellitus
E13,Other specified diabetes mellitus
E14,Unspecified diabetes mellitus
G590,Diabetic mononeuropathy
G632,Diabetic polyneuropathy
H280,Diabetic cataract
H360,Diabetic retinopathy
M142,Diabetic arthropathy
N083,Glomerular disorders in diabetes mellitus
O240,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent"
O241,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent"
O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus
O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified"
